Pilot,Exhaustive,Hierarchical,Double Deep Q-Learning
1.0,0.096,0.138,0.274
2.0,0.222,0.138,0.416
3.0,0.334,0.138,0.528
4.0,0.464,0.138,0.632
5.0,0.608,0.138,0.732
6.0,0.736,0.846,0.794
7.0,0.872,0.846,0.802
8.0,0.99,0.846,0.806
