Pilot,Exhaustive,Hierarchical,Double Deep Q-Learning
1.0,0.118,0.128,0.248
2.0,0.224,0.128,0.536
3.0,0.39,0.128,0.674
4.0,0.532,0.128,0.724
5.0,0.648,0.128,0.73
6.0,0.776,0.876,0.734
7.0,0.886,0.876,0.74
8.0,0.996,0.876,0.734
