Pilot,Exhaustive,Hierarchical,PPO
1.0,0.1,0.152,0.174
2.0,0.222,0.152,0.27
3.0,0.35,0.152,0.296
4.0,0.484,0.152,0.314
5.0,0.638,0.152,0.316
6.0,0.758,0.72,0.306
7.0,0.878,0.72,0.312
8.0,0.98,0.72,0.318
