Pilot,Exhaustive,Hierarchical,Random sampling,Deep Q-Learning,Q-Learning
1.0,0.046,0.076,0.188,0.092,0.162
2.0,0.102,0.076,0.42,0.522,0.392
3.0,0.156,0.076,0.55,0.826,0.618
4.0,0.206,0.076,0.684,0.922,0.724
5.0,0.26,0.076,0.734,0.934,0.76
6.0,0.322,0.076,0.802,0.936,0.806
7.0,0.4,0.076,0.838,0.938,0.858
8.0,0.492,0.95,0.874,0.938,0.888
9.0,0.568,0.95,0.892,0.938,0.904
10.0,0.65,0.95,0.912,0.936,0.918
