Pilot,Exhaustive,Hierarchical,Random sampling,Deep Q-Learning,Q-Learning
1.0,0.096,0.134,0.322,0.37,0.304
2.0,0.204,0.134,0.556,0.648,0.602
3.0,0.318,0.134,0.736,0.858,0.792
4.0,0.51,0.134,0.808,0.97,0.854
5.0,0.656,0.134,0.862,0.982,0.914
6.0,0.766,0.962,0.89,0.994,0.94
7.0,0.888,0.962,0.922,0.99,0.964
8.0,0.996,0.962,0.938,0.988,0.968
9.0,0.994,0.962,0.952,0.986,0.972
10.0,0.994,0.962,0.966,0.988,0.976
