Pilot,Exhaustive,Hierarchical,PPO
1.0,0.116,0.126,0.216
2.0,0.228,0.126,0.398
3.0,0.392,0.126,0.558
4.0,0.544,0.126,0.65
5.0,0.66,0.126,0.734
6.0,0.786,0.742,0.77
7.0,0.898,0.742,0.8
8.0,1.0,0.742,0.802
