Pilot,Exhaustive,Hierarchical,Random sampling,Deep Q-Learning,Q-Learning
1.0,0.078,0.048,0.25,0.38,0.192
2.0,0.13,0.048,0.602,0.886,0.558
3.0,0.172,0.048,0.806,0.976,0.792
4.0,0.24,0.048,0.89,0.994,0.892
5.0,0.282,0.048,0.926,0.992,0.92
6.0,0.346,0.048,0.948,0.992,0.946
7.0,0.42,0.048,0.958,0.992,0.964
8.0,0.492,0.99,0.962,0.99,0.972
9.0,0.574,0.99,0.974,0.988,0.978
10.0,0.654,0.99,0.97,0.988,0.984
