Pilot,Exhaustive,Hierarchical,Q-Learning,Random sampling
1.0,0.11,0.118,0.252,0.252
2.0,0.214,0.118,0.41,0.404
3.0,0.358,0.118,0.52,0.474
4.0,0.506,0.118,0.568,0.582
5.0,0.656,0.118,0.636,0.628
6.0,0.78,0.774,0.662,0.664
7.0,0.894,0.774,0.702,0.708
8.0,0.998,0.774,0.736,0.728
