Pilot,Exhaustive,Hierarchical,Deep Q-Learning,Q-Learning,Random sampling
1.0,0.118,0.124,0.348,0.332,0.326
2.0,0.25,0.124,0.704,0.728,0.688
3.0,0.356,0.124,0.974,0.9,0.856
4.0,0.502,0.124,1.0,0.964,0.936
5.0,0.662,0.124,1.0,0.986,0.964
6.0,0.778,0.988,1.0,0.986,0.976
7.0,0.884,0.988,1.0,0.996,0.984
8.0,0.998,0.988,1.0,0.996,0.99
