Pilot,Exhaustive,Hierarchical,Q-Learning,Random sampling
1.0,0.124,0.126,0.2,0.19
2.0,0.224,0.126,0.284,0.268
3.0,0.336,0.126,0.38,0.368
4.0,0.472,0.126,0.458,0.436
5.0,0.64,0.126,0.514,0.478
6.0,0.76,0.64,0.542,0.508
7.0,0.886,0.64,0.582,0.53
8.0,0.978,0.64,0.598,0.548
