Pilot,Exhaustive,Hierarchical,Double Deep Q-Learning
1.0,0.118,0.128,0.232
2.0,0.224,0.128,0.546
3.0,0.392,0.128,0.756
4.0,0.536,0.128,0.79
5.0,0.652,0.128,0.796
6.0,0.78,0.902,0.802
7.0,0.89,0.902,0.808
8.0,1.0,0.902,0.81
