Pilot,Exhaustive,Hierarchical,PPO
1.0,0.122,0.14,0.198
2.0,0.238,0.14,0.302
3.0,0.396,0.14,0.404
4.0,0.522,0.14,0.436
5.0,0.646,0.14,0.45
6.0,0.774,0.694,0.458
7.0,0.864,0.694,0.45
8.0,0.966,0.694,0.444
